     RUID         HW(30)  QUIZ(30)  EXAM(40)  TOTAL(100)     GRADE
-----------------------------------------------------------------------
807-49-0073         4.74      6.18       8.4       19.32         F
658-30-1272         5.37      4.32     11.36       21.05         F
544-78-7923          6.9      5.82     14.88        27.6         F
709-40-8165         6.03      5.25     10.64       21.92         F
492-42-7987         8.43      7.95     14.56       30.94         F
503-27-1729         4.44       5.7      14.0       24.14         F
840-12-4303         7.44      6.72     14.56       28.72         F
169-09-7157         6.75       6.9     14.72       28.37         F
560-33-3099         5.94      4.32      7.68       17.94         F
278-16-5335          7.8      7.32     13.92       29.04         F
097-26-3512         7.29      7.56     10.56       25.41         F
267-10-7633         6.75      5.79      13.6       26.14         F
979-49-6579         7.05      6.48       8.0       21.53         F
821-67-0672          7.8      6.93     10.88       25.61         F
393-36-5485         5.25      4.86     12.24       22.35         F
